,unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,message
11060,315678,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,503,Willowbrook,2011,2011-01-01,1.8,
8860,227558,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,408,Hillcrest and Fresh Meadows (CD8),2011,2011-01-01,1.9,
8831,227589,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,210,Throgs Neck and Co-op City (CD10),2011,2011-01-01,1.32,
8859,227528,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,208,Riverdale and Fieldston (CD8),2011,2011-01-01,2.2,
11103,315630,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,503,Willowbrook,2011,2011-01-01,1.1,
8833,227579,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,112,Washington Heights and Inwood (CD12),2011,2011-01-01,2.59,
8838,227530,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,210,Throgs Neck and Co-op City (CD10),2011,2011-01-01,2.0,
8839,227532,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,212,Williamsbridge and Baychester (CD12),2011,2011-01-01,2.0,
8840,227601,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,310,Bay Ridge and Dyker Heights (CD10),2011,2011-01-01,1.47,
7728,315665,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,310,Lower Manhattan,2011,2011-01-01,2.3,
8841,227591,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,212,Williamsbridge and Baychester (CD12),2011,2011-01-01,1.37,
8842,227603,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,312,Borough Park (CD12),2011,2011-01-01,1.36,
8843,227577,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,110,Central Harlem (CD10),2011,2011-01-01,2.14,
11804,315588,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,Borough,4,Queens,2011,2011-01-01,1.6,
8844,227619,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,410,South Ozone Park and Howard Beach (CD10),2011,2011-01-01,1.31,
8962,227572,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,105,Midtown (CD5),2011,2011-01-01,3.41,
8845,227542,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,310,Bay Ridge and Dyker Heights (CD10),2011,2011-01-01,2.0,
11113,315594,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,105,Crotona -Tremont,2011,2011-01-01,1.6,
11111,315612,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,305,Upper East Side,2011,2011-01-01,2.5,
7730,315675,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,410,Rockaways,2011,2011-01-01,1.4,
11107,315601,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,205,Sunset Park,2011,2011-01-01,1.3,
11106,315610,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,303,East Harlem,2011,2011-01-01,2.1,
8858,227556,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,406,Rego Park and Forest Hills (CD6),2011,2011-01-01,2.3,
8784,227563,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,413,Queens Village (CD13),2011,2011-01-01,1.8,
11076,315656,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,301,Washington Heights,2011,2011-01-01,2.8,
8964,227584,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,205,Fordham and University Heights (CD5),2011,2011-01-01,1.78,
15078,227535,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,303,Bedford Stuyvesant (CD3),2011,2011-01-01,2.0,
15077,227511,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,103,Lower East Side and Chinatown (CD3),2011,2011-01-01,2.5,
10015,227545,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,313,Coney Island (CD13),2011,2011-01-01,2.1,
10014,227606,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,315,Sheepshead Bay (CD15),2011,2011-01-01,1.61,
15046,315636,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,Borough,4,Queens,2011,2011-01-01,2.1,
15034,227513,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,105,Midtown (CD5),2011,2011-01-01,3.0,
15033,315646,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,202,Downtown - Heights - Slope,2011,2011-01-01,2.2,
10013,227604,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,313,Coney Island (CD13),2011,2011-01-01,1.77,
9567,227583,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,204,Highbridge and Concourse (CD4),2011,2011-01-01,1.68,
15079,227536,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,304,Bushwick (CD4),2011,2011-01-01,2.0,
15013,315654,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,210,Coney Island - Sheepshead Bay,2011,2011-01-01,2.1,
9049,227541,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,309,South Crown Heights and Lefferts Gardens (CD9),2011,2011-01-01,2.1,
9048,227588,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,209,Parkchester and Soundview (CD9),2011,2011-01-01,1.36,
9047,227602,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,311,Bensonhurst (CD11),2011,2011-01-01,1.7,
9046,227590,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,211,Morris Park and Bronxdale (CD11),2011,2011-01-01,1.47,
14953,315647,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,2011,2011-01-01,2.0,
14909,227520,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,112,Washington Heights and Inwood (CD12),2011,2011-01-01,2.8,
14908,227516,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,108,Upper East Side (CD8),2011,2011-01-01,2.8,
14906,315680,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,Citywide,1,New York City,2011,2011-01-01,2.1,
15568,315593,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,104,Pelham - Throgs Neck,2011,2011-01-01,1.3,
15011,315650,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,206,Borough Park,2011,2011-01-01,2.0,
15109,227519,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,111,East Harlem (CD11),2011,2011-01-01,2.6,
15181,315635,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,Borough,3,Manhattan,2011,2011-01-01,2.4,
15183,227509,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,101,Financial District (CD1),2011,2011-01-01,2.5,
15807,315600,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,204,East New York,2011,2011-01-01,1.4,
9571,227554,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,404,Elmhurst and Corona (CD4),2011,2011-01-01,2.3,
9572,227570,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,103,Lower East Side and Chinatown (CD3),2011,2011-01-01,2.19,
9573,227612,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,403,Jackson Heights (CD3),2011,2011-01-01,1.61,
9574,227594,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,303,Bedford Stuyvesant (CD3),2011,2011-01-01,1.36,
9575,227582,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,203,Morrisania and Crotona (CD3),2011,2011-01-01,1.43,
9576,227608,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,317,East Flatbush (CD17),2011,2011-01-01,1.48,
9577,227609,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,318,Flatlands and Canarsie (CD18),2011,2011-01-01,1.03,
9578,227595,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,304,Bushwick (CD4),2011,2011-01-01,1.38,
15809,315589,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,Borough,5,Staten Island,2011,2011-01-01,1.2,
15253,315660,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,305,Upper East Side,2011,2011-01-01,2.8,
15804,315631,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,504,South Beach - Tottenville,2011,2011-01-01,1.0,
9566,227613,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,404,Elmhurst and Corona (CD4),2011,2011-01-01,1.64,
15800,227515,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,107,Upper West Side (CD7),2011,2011-01-01,2.7,
15377,315643,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,106,High Bridge - Morrisania,2011,2011-01-01,2.3,
9565,227626,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,503,Tottenville and Great Kills (CD3),2011,2011-01-01,1.05,
9564,227553,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,403,Jackson Heights (CD3),2011,2011-01-01,2.3,
9563,227567,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,503,Tottenville and Great Kills (CD3),2011,2011-01-01,1.7,
9544,227524,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,204,Highbridge and Concourse (CD4),2011,2011-01-01,2.2,
15185,227510,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,102,Greenwich Village and Soho (CD2),2011,2011-01-01,2.6,
15184,227522,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,202,Hunts Point and Longwood (CD2),2011,2011-01-01,2.1,
14905,315632,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,Citywide,1,New York City,2011,2011-01-01,1.6,
14900,315645,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,201,Greenpoint,2011,2011-01-01,2.2,
15805,315611,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,304,Upper West Side,2011,2011-01-01,2.4,
15588,227623,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,414,Rockaway and Broad Channel (CD14),2011,2011-01-01,0.8,
9020,227597,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,306,Park Slope and Carroll Gardens (CD6),2011,2011-01-01,1.5,
9019,227615,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,406,Rego Park and Forest Hills (CD6),2011,2011-01-01,1.73,
8988,315625,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,408,Jamaica,2011,2011-01-01,1.3,
15589,227574,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,107,Upper West Side (CD7),2011,2011-01-01,2.43,
9018,227571,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,104,Clinton and Chelsea (CD4),2011,2011-01-01,2.88,
14892,315644,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,107,Hunts Point - Mott Haven,2011,2011-01-01,2.1,
16182,315641,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,104,Pelham - Throgs Neck,2011,2011-01-01,2.0,
16185,315637,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,Borough,5,Staten Island,2011,2011-01-01,1.8,
15596,227539,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,307,Sunset Park (CD7),2011,2011-01-01,2.1,
8963,227607,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,316,Brownsville (CD16),2011,2011-01-01,1.26,
8984,315614,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,UHF42,307,Gramercy Park - Murray Hill,2011,2011-01-01,2.8,
15598,227605,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,314,Flatbush and Midwood (CD14),2011,2011-01-01,1.4,
15591,227586,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),2011,2011-01-01,1.63,
14893,315634,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,Borough,2,Brooklyn,2011,2011-01-01,2.2,
15585,227564,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,414,Rockaway and Broad Channel (CD14),2011,2011-01-01,1.5,
9021,227617,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,408,Hillcrest and Fresh Meadows (CD8),2011,2011-01-01,1.38,
8965,227596,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,305,East New York and Starrett City (CD5),2011,2011-01-01,1.35,
15597,227527,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),2011,2011-01-01,2.2,
14897,315633,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,Borough,1,Bronx,2011,2011-01-01,2.0,
15587,227557,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,407,Flushing and Whitestone (CD7),2011,2011-01-01,1.9,
15599,227616,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,407,Flushing and Whitestone (CD7),2011,2011-01-01,1.32,
14895,315652,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,208,Canarsie - Flatlands,2011,2011-01-01,1.8,
14891,315651,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,UHF42,207,East Flatbush - Flatbush,2011,2011-01-01,2.1,
15586,227546,647,Outdoor Air Toxics - Formaldehyde,Annual average concentration,µg/m3,CD,314,Flatbush and Midwood (CD14),2011,2011-01-01,2.1,
15590,227598,646,Outdoor Air Toxics - Benzene,Annual average concentration,µg/m3,CD,307,Sunset Park (CD7),2011,2011-01-01,1.52,
12146,219967,386,Ozone (O3),Mean,ppb,Borough,1,Bronx,Summer 2011,2011-06-01,32.91,
12139,179355,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,3,Manhattan,Summer 2011,2011-06-01,27.72,
12148,219973,386,Ozone (O3),Mean,ppb,Borough,2,Brooklyn,Summer 2011,2011-06-01,33.19,
12149,179353,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,1,Bronx,Summer 2011,2011-06-01,18.31,
12136,222433,386,Ozone (O3),Mean,ppb,UHF42,106,High Bridge - Morrisania,Summer 2011,2011-06-01,31.12,
8240,173693,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,410,Rockaways,Summer 2011,2011-06-01,10.59,
2451,177891,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501,Port Richmond,Summer 2011,2011-06-01,11.31,
3865,221893,386,Ozone (O3),Mean,ppb,UHF34,303,East Harlem,Summer 2011,2011-06-01,30.25,
12134,219979,386,Ozone (O3),Mean,ppb,Borough,3,Manhattan,Summer 2011,2011-06-01,27.27,
8280,177864,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,205,Sunset Park,Summer 2011,2011-06-01,12.03,
11858,222541,386,Ozone (O3),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2011,2011-06-01,24.2,
11860,222517,386,Ozone (O3),Mean,ppb,UHF42,302,Central Harlem - Morningside Heights,Summer 2011,2011-06-01,29.4,
12102,179120,375,Nitrogen dioxide (NO2),Mean,ppb,Citywide,1,New York City,Summer 2011,2011-06-01,17.14,
12098,219694,386,Ozone (O3),Mean,ppb,Citywide,1,New York City,Summer 2011,2011-06-01,33.1,
8292,177862,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,203,Bedford Stuyvesant - Crown Heights,Summer 2011,2011-06-01,11.54,
1533,216562,386,Ozone (O3),Mean,ppb,CD,406,Rego Park and Forest Hills (CD6),Summer 2011,2011-06-01,32.23,
2322,169440,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,402,Woodside and Sunnyside (CD2),Summer 2011,2011-06-01,12.85,
3868,221917,386,Ozone (O3),Mean,ppb,UHF34,403,Flushing - Clearview,Summer 2011,2011-06-01,33.92,
9545,166757,375,Nitrogen dioxide (NO2),Mean,ppb,CD,204,Highbridge and Concourse (CD4),Summer 2011,2011-06-01,22.2,
7564,169412,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,204,Highbridge and Concourse (CD4),Summer 2011,2011-06-01,12.24,
8218,175981,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301,Washington Heights,Summer 2011,2011-06-01,20.85,
10244,216490,386,Ozone (O3),Mean,ppb,CD,312,Borough Park (CD12),Summer 2011,2011-06-01,32.44,
12227,175965,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,103,Fordham - Bronx Pk,Summer 2011,2011-06-01,18.38,
4526,173694,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,305307,Upper East Side-Gramercy,Summer 2011,2011-06-01,13.92,
11750,222481,386,Ozone (O3),Mean,ppb,UHF42,207,East Flatbush - Flatbush,Summer 2011,2011-06-01,32.67,
11752,222439,386,Ozone (O3),Mean,ppb,UHF42,107,Hunts Point - Mott Haven,Summer 2011,2011-06-01,33.42,
9362,172153,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,302,Central Harlem - Morningside Heights,Summer 2011,2011-06-01,23.92,
12225,222427,386,Ozone (O3),Mean,ppb,UHF42,105,Crotona -Tremont,Summer 2011,2011-06-01,31.46,
8573,177876,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,306,Chelsea - Clinton,Summer 2011,2011-06-01,14.24,
2237,221851,386,Ozone (O3),Mean,ppb,UHF34,207,East Flatbush - Flatbush,Summer 2011,2011-06-01,32.67,
2239,221929,386,Ozone (O3),Mean,ppb,UHF34,407,Southwest Queens,Summer 2011,2011-06-01,33.63,
12222,222535,386,Ozone (O3),Mean,ppb,UHF42,305,Upper East Side,Summer 2011,2011-06-01,27.52,
6300,216610,386,Ozone (O3),Mean,ppb,CD,414,Rockaway and Broad Channel (CD14),Summer 2011,2011-06-01,39.14,
7283,166767,375,Nitrogen dioxide (NO2),Mean,ppb,CD,302,Fort Greene and Brooklyn Heights (CD2),Summer 2011,2011-06-01,23.13,
8183,175975,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,206,Borough Park,Summer 2011,2011-06-01,18.64,
12220,222415,386,Ozone (O3),Mean,ppb,UHF42,103,Fordham - Bronx Pk,Summer 2011,2011-06-01,32.08,
12218,222457,386,Ozone (O3),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,Summer 2011,2011-06-01,31.43,
8188,173684,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,303,East Harlem,Summer 2011,2011-06-01,12.11,
6292,169415,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2011,2011-06-01,11.72,
10237,216478,386,Ozone (O3),Mean,ppb,CD,310,Bay Ridge and Dyker Heights (CD10),Summer 2011,2011-06-01,32.51,
12181,173668,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102,Northeast Bronx,Summer 2011,2011-06-01,11.39,
2327,169454,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,502,South Beach and Willowbrook (CD2),Summer 2011,2011-06-01,11.15,
2267,177860,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201,Greenpoint,Summer 2011,2011-06-01,12.84,
13813,177857,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,105,Crotona -Tremont,Summer 2011,2011-06-01,12.13,
6269,177865,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,206,Borough Park,Summer 2011,2011-06-01,11.34,
2278,177885,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,405,Ridgewood - Forest Hills,Summer 2011,2011-06-01,11.35,
3277,221827,386,Ozone (O3),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Summer 2011,2011-06-01,31.43,
3377,173700,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,105106107,South Bronx,Summer 2011,2011-06-01,12.15,
2479,169455,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,503,Tottenville and Great Kills (CD3),Summer 2011,2011-06-01,10.99,
12201,175971,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,202,Downtown - Heights - Slope,Summer 2011,2011-06-01,22.21,
7287,166766,375,Nitrogen dioxide (NO2),Mean,ppb,CD,301,Greenpoint and Williamsburg (CD1),Summer 2011,2011-06-01,21.37,
12203,175964,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,102,Northeast Bronx,Summer 2011,2011-06-01,17.16,
2248,169448,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,410,South Ozone Park and Howard Beach (CD10),Summer 2011,2011-06-01,10.9,
8533,173677,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,207,East Flatbush - Flatbush,Summer 2011,2011-06-01,11.42,
10266,166745,375,Nitrogen dioxide (NO2),Mean,ppb,CD,104,Clinton and Chelsea (CD4),Summer 2011,2011-06-01,30.93,
10293,216496,386,Ozone (O3),Mean,ppb,CD,313,Coney Island (CD13),Summer 2011,2011-06-01,37.52,
10269,216394,386,Ozone (O3),Mean,ppb,CD,208,Riverdale and Fieldston (CD8),Summer 2011,2011-06-01,31.3,
13718,179578,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,1,Bronx,Summer 2011,2011-06-01,11.66,
9460,173683,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,302,Central Harlem - Morningside Heights,Summer 2011,2011-06-01,11.93,
10354,166756,375,Nitrogen dioxide (NO2),Mean,ppb,CD,203,Morrisania and Crotona (CD3),Summer 2011,2011-06-01,20.59,
4598,216466,386,Ozone (O3),Mean,ppb,CD,308,Crown Heights and Prospect Heights (CD8),Summer 2011,2011-06-01,30.7,
11948,175980,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211,Williamsburg - Bushwick,Summer 2011,2011-06-01,21.19,
10357,216550,386,Ozone (O3),Mean,ppb,CD,404,Elmhurst and Corona (CD4),Summer 2011,2011-06-01,32.56,
4595,216454,386,Ozone (O3),Mean,ppb,CD,306,Park Slope and Carroll Gardens (CD6),Summer 2011,2011-06-01,29.87,
10359,216628,386,Ozone (O3),Mean,ppb,CD,503,Tottenville and Great Kills (CD3),Summer 2011,2011-06-01,35.94,
2406,216412,386,Ozone (O3),Mean,ppb,CD,211,Morris Park and Bronxdale (CD11),Summer 2011,2011-06-01,33.45,
10380,216526,386,Ozone (O3),Mean,ppb,CD,318,Flatlands and Canarsie (CD18),Summer 2011,2011-06-01,35.88,
13745,179356,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,4,Queens,Summer 2011,2011-06-01,17.04,
2411,175992,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,402,West Queens,Summer 2011,2011-06-01,20.29,
7440,166770,375,Nitrogen dioxide (NO2),Mean,ppb,CD,305,East New York and Starrett City (CD5),Summer 2011,2011-06-01,17.57,
4605,166771,375,Nitrogen dioxide (NO2),Mean,ppb,CD,306,Park Slope and Carroll Gardens (CD6),Summer 2011,2011-06-01,21.44,
7438,166758,375,Nitrogen dioxide (NO2),Mean,ppb,CD,205,Fordham and University Heights (CD5),Summer 2011,2011-06-01,22.24,
5733,222553,386,Ozone (O3),Mean,ppb,UHF42,308,Greenwich Village - SoHo,Summer 2011,2011-06-01,26.21,
7419,169404,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,108,Upper East Side (CD8),Summer 2011,2011-06-01,13.14,
11928,176004,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,504,South Beach - Tottenville,Summer 2011,2011-06-01,8.54,
11922,222403,386,Ozone (O3),Mean,ppb,UHF42,101,Kingsbridge - Riverdale,Summer 2011,2011-06-01,31.24,
11920,222445,386,Ozone (O3),Mean,ppb,UHF42,201,Greenpoint,Summer 2011,2011-06-01,31.61,
8456,216388,386,Ozone (O3),Mean,ppb,CD,207,Kingsbridge Heights and Bedford (CD7),Summer 2011,2011-06-01,31.43,
11899,172149,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,209,Bensonhurst - Bay Ridge,Summer 2011,2011-06-01,16.98,
11884,172147,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,207,East Flatbush - Flatbush,Summer 2011,2011-06-01,18.77,
4575,173688,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,403,Flushing - Clearview,Summer 2011,2011-06-01,11.24,
5731,222613,386,Ozone (O3),Mean,ppb,UHF42,408,Jamaica,Summer 2011,2011-06-01,32.95,
13775,179580,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,3,Manhattan,Summer 2011,2011-06-01,12.86,
7427,169432,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,312,Borough Park (CD12),Summer 2011,2011-06-01,11.34,
2452,177881,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,401,Long Island City - Astoria,Summer 2011,2011-06-01,12.33,
6199,169409,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,201,Mott Haven and Melrose (CD1),Summer 2011,2011-06-01,12.46,
6217,177880,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,310,Lower Manhattan,Summer 2011,2011-06-01,13.21,
2396,216592,386,Ozone (O3),Mean,ppb,CD,411,Bayside and Little Neck (CD11),Summer 2011,2011-06-01,33.12,
6215,177879,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,309,Union Square - Lower East Side,Summer 2011,2011-06-01,12.59,
7547,169416,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,208,Riverdale and Fieldston (CD8),Summer 2011,2011-06-01,11.29,
7546,169402,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,106,Stuyvesant Town and Turtle Bay (CD6),Summer 2011,2011-06-01,14.13,
6149,175993,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,403,Flushing - Clearview,Summer 2011,2011-06-01,17.42,
8331,177871,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301,Washington Heights,Summer 2011,2011-06-01,11.58,
7539,169426,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,306,Park Slope and Carroll Gardens (CD6),Summer 2011,2011-06-01,12.25,
8337,177853,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,101,Kingsbridge - Riverdale,Summer 2011,2011-06-01,11.3,
1507,166796,375,Nitrogen dioxide (NO2),Mean,ppb,CD,413,Queens Village (CD13),Summer 2011,2011-06-01,15.36,
10302,216508,386,Ozone (O3),Mean,ppb,CD,315,Sheepshead Bay (CD15),Summer 2011,2011-06-01,36.24,
10304,172148,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,208,Canarsie - Flatlands,Summer 2011,2011-06-01,14.26,
10308,172146,375,Nitrogen dioxide (NO2),Mean,ppb,UHF34,206,Borough Park,Summer 2011,2011-06-01,18.64,
